,min,max,mean,std
133,1.104800411471101,3.879472948306365,1.726012747155901,0.42008301833771594
134,1.250683897101532,4.459932178719095,1.8729874700076232,0.42316224083873755
135,1.045838624507379,6.637517717318985,2.0621071672332136,0.49655708351350825
136,1.2093885328604383,7.744473309873417,2.0253478683575863,0.5058478991268184
137,1.021172375356272,4.320371546116125,1.7219380240215942,0.38074975462173144
138,1.058023433667489,3.6317464213246735,1.7217987949401776,0.26843328238319675
139,1.0728341272645314,5.842191174102752,1.8161257393655832,0.3949902417310333
140,1.230969936142951,4.303074187625255,1.8365084885307832,0.4019799285588805
141,1.2365783314411594,6.0315430717755945,1.9481238033740076,0.46600959417185533
142,0.998616500441952,5.493679906490348,1.7680852362816202,0.4634525185605001
143,1.0448618358917712,5.147214656243212,1.8685302407777642,0.4726337570352595
144,1.1708678401585064,4.1224206716620575,1.9190813058460312,0.45717329678865837
145,1.2247834300923186,5.48624661831454,2.0571740159984873,0.5014840182964586
146,1.083105264341308,3.918788676046904,1.7223577324493053,0.33363113152013685
147,1.2443273042665022,3.580437829464309,1.7921345636428192,0.35111683168663893
148,1.102937552404207,3.870954178372492,1.7776339910308638,0.42572260878310847
149,1.2311549636286403,7.0558078932813695,1.8600933955467236,0.45273064491708714
150,1.2372626938416185,4.58460239554767,1.8158418695490994,0.4064248080037878
151,1.2213554560169126,4.023611125149207,1.762133939041438,0.3858571280191146
152,1.213043485853716,5.150563057320157,2.034853991917639,0.4771852615956693
153,1.0173993289633971,4.532023667900704,1.9998741570483074,0.5227884606469433
154,1.10337422507411,4.804831040679828,2.137443047963278,0.6098973195724228
155,1.100381647864486,4.901100523336678,1.9110187374247596,0.5306650966669558
156,0.9777019097381752,4.283920222133112,1.9380522309784487,0.47608828776497775
157,1.143359504788921,4.735137727322937,1.9654703848141035,0.4479494429433703
158,1.0044035828749966,4.607092172002122,1.9734365502210005,0.49193795960440573
159,1.162072283979544,5.312057563582893,2.102601762613277,0.5579659537474448
160,1.0875789496198311,4.13873999303578,1.8328125945870946,0.3806169232189819
161,0.9635009744348474,4.432649702436291,1.886652017109951,0.4372682902528396
162,1.0111378096183858,5.250240502054414,1.9091825980712491,0.48412493021181247
163,1.1830624738833944,8.546424058280397,1.8901643715644114,0.5240982744533037
164,1.0760827807072442,4.231436904316191,1.8276691631720996,0.4112484912742178
165,0.9854638581396372,4.498461164995193,1.7607026694463883,0.42755688286199806
166,0.9383546506035164,4.470718900353962,1.7331757422329743,0.41698442984509543
167,1.0694143095130275,5.425373825668749,1.842355340644075,0.4420871000365316
168,1.052269428346258,4.812840113374813,1.8031215046641644,0.40879022669943543
169,1.0253242992776703,5.249492074083423,1.836456288218516,0.43067043737881394
170,1.205376080795168,3.995429723916355,1.8322877921127048,0.45994447160077473
171,1.0843052448457091,5.363761963591792,1.6809435248268512,0.3908196383877201
172,1.1623587970021712,6.504822592182698,1.7821591869120001,0.5082977022094801
173,1.2106083255117783,6.371779188166743,2.089487749696542,0.4994803322655747
174,1.207045909174454,3.9563832552257887,1.9988299112982717,0.4107552505404653
175,1.2210276424457969,6.396179160460758,1.9806400570405815,0.4390605228598588
176,1.223948838936542,7.297353516473205,1.9146123038059815,0.4359104937835387
177,1.0708872479104177,4.097481225213776,2.0006556347201827,0.5350130400809398
178,1.0168337277867532,4.19917379662014,2.0240809450465433,0.439379154559927
179,0.9825533395009748,5.370409353840789,1.9195730836020792,0.4536122658368984
180,1.1566489449913804,3.8870907719394903,1.8098056714324673,0.34156772725890233
181,1.1865933320173292,6.365284874104581,2.075524079235348,0.5551794130357274
182,1.253614573915944,4.2072318273056775,1.9879640567544388,0.4262335425751746
183,1.1109459154519756,4.078056642955655,1.9030343268535792,0.5271020545111844
184,1.2046048978490362,4.774996600425873,1.9966918021787343,0.4785195526496398
185,1.269793183382924,9.559638664573262,2.3360004334630964,2.6732390667825077
186,-4.566943122535111,-0.6763348476064936,-1.8345900745877277,0.536572408343746
187,-4.314272269504239,-0.7144401940512213,-1.795678839989497,0.5227812118980802
188,-4.243313888316933,-0.704840036094054,-1.7868187670560756,0.4794518042951078
189,-5.53423661343299,-1.0278273251468146,-1.914108938360948,0.47940053534798077
190,-5.125319995412728,-0.9176512020822868,-1.807669675541207,0.46572342064995925
191,-4.503256421059837,-0.9179680982925592,-1.7765930437567914,0.48042163803969073
192,-3.871287941997005,-1.1357494233435608,-1.815311800070849,0.42573338952168777
193,-4.795722854775056,-1.1122917520922209,-2.0784596195855944,0.497276713396839
194,-6.9794576939260775,-1.245961372715711,-2.008099355811634,0.4436470675910112
195,-3.937325080777631,-1.0382456234142443,-1.7765441663423758,0.393263359509205
196,-3.698285372889612,-0.9992577973728576,-1.6919756238069332,0.4019562640686728
197,-4.496373699446316,-1.163508723524253,-1.887217451786123,0.4674270346919094
198,-5.062885729887436,-1.0243368113723397,-1.9931371188027833,0.5371799602740491
199,-5.245526879226895,-1.003198755204315,-1.8590512116865232,0.43554725264836797
200,-6.513728533472766,-1.1837171558138295,-1.612483339987098,0.3815559287408785
201,-5.278178367115102,-1.1680081358089314,-1.8321361260674933,0.5071931808821614
202,-5.040395060468236,-1.1862762081563067,-2.072410696959555,0.4628496290985847
203,-5.317121699819245,-1.0372844315539669,-1.9913217309398308,0.46683986286222234
204,-5.455748822485995,-0.9877375747336689,-1.8495390446734183,0.4885369784194411
205,-7.009383494571497,-0.943547109916495,-1.8457692099054237,0.5989769759306771
206,-9.159947204012418,-1.2460286190276737,-2.026824503607916,0.5613183080837642
207,-5.097662268886803,-1.0594086534603857,-1.9278778599384618,0.47905447908802223
208,-9.02538644897984,-1.2175046029899437,-1.8884941891769138,0.46467222654039775
209,-3.9443086176246274,-1.171501257372174,-1.6179799385933678,0.35494384036923454
210,-9.643731670348236,-1.2141683104237804,-1.8685411897728244,0.5615814229137408
211,-4.483305766404727,-1.0327791065776368,-1.836626267934445,0.4985825020667693
212,-4.053468477681416,-1.0829370752542689,-1.761969658392845,0.4077247425538962
213,-4.892231959488102,-1.2008808740439398,-1.808222862616526,0.4459490631089782
214,-9.798862455795716,-1.0993179389275485,-1.900925079485399,0.6807040536747762
215,-4.166681362428951,-0.7641721436264038,-1.8927596520832797,0.5424643422495733
216,-6.776985466457901,-0.7333574764951369,-1.9530497195269259,0.5551863273759108
217,-4.216107671888806,-0.8546780553198288,-1.7502015096820085,0.401991290469612
218,-4.613887615209642,-0.7398829778445039,-1.888488787007152,0.4637157718737855
219,-4.842436636271063,-1.0595224595290975,-1.8295633077073015,0.5303885254520008
220,-8.44438578397961,-0.8292148655049456,-1.8047226319279335,0.5238537519241253
221,-4.326318758546723,-1.0008546012559671,-1.885682486976573,0.5198479398253344
222,-4.089380508094461,-0.982176175054128,-1.8675886213542574,0.4186959234113844
223,-4.78070204434782,-1.1854014256402556,-1.9019913077146455,0.4366525631135065
224,-6.883676855397054,-1.1192884158240064,-1.8699730798033491,0.5292150286428704
225,-3.954847341482216,-1.0277170413530894,-1.8187302845926898,0.42152944990276303
226,-5.236727516121452,-1.24338055624061,-1.9198801066223314,0.4546561844596436
227,-6.871152098033589,-1.1706523532493016,-1.8848691465717553,0.44632820338351875
228,-7.829905526700844,-1.229842288818443,-1.7955797504977977,0.5806519467140477
229,-6.195545518651265,-1.1638055823499416,-2.002149037205631,0.4856048620379433
230,-5.3036813411692885,-1.1910696339747986,-1.865125834457829,0.4697957432896892
231,-6.704364869269725,-1.1817791166599116,-1.9442738046200094,0.6004225854436976
232,-4.225071548107685,-1.266581546775097,-1.8022067454196935,0.4203296433812445
233,-8.883083730003156,-1.1661828025136267,-1.7586407293653816,0.5175887669513053
234,-4.436733218901758,-1.0533878394661045,-1.7096531874908543,0.4191112592149103
235,-4.600684974958318,-1.054316066674421,-2.0710996849258887,0.5503571027205779
236,-6.619583282696143,-1.278312906649042,-2.0787662169836567,0.49843439307278126
237,-3.9605924858330175,-1.1378738171971032,-1.8774957375372228,0.4357753368352377
238,-5.135033398117324,-1.0908947904223432,-1.816661651219311,0.47643187891144034
239,-7.855494827718856,-1.1943358441701513,-2.0639573651758036,0.5883757625082647
240,-5.773926239614505,-1.2126489983022215,-2.0120538413939353,0.5489007983203885
241,-6.941051584109423,-1.2205252136406477,-1.962260173602857,0.5466117690727276
242,-7.328583565292215,-1.2389649865713952,-1.8401775954942343,0.477219118313419
243,-4.295175891533558,-1.0149727853214137,-1.9730566062487804,0.5023800396006686
244,-5.008463834943798,-1.0880459611257094,-1.942946572217803,0.4552296194964279
245,-7.691401743624231,-1.278681467424606,-2.0916692390818423,0.5689951366746931
246,-4.521427483583938,-1.1838841642485258,-1.914274157884487,0.4589044779345166
247,-5.943274417809743,-1.532845320569265,-2.2924845185084926,1.5487178076788735
248,1999.9999999999989,2000.000000000001,2000.0,2.659527460429245e-13
249,1999.999999999999,2000.000000000001,2000.0,2.7206981234490945e-13
250,1999.999999999999,2000.000000000001,2000.0,2.7604985956362655e-13
251,1999.999999999999,2000.000000000001,2000.0,2.7137769773521557e-13
252,1999.9999999999989,2000.000000000001,2000.0,2.712737282411749e-13
253,1999.999999999999,2000.000000000001,2000.0,2.786266520240754e-13
254,1999.999999999999,2000.000000000001,2000.0,2.722080240949188e-13
255,1999.999999999999,2000.000000000001,2000.0,2.7165475518127293e-13
256,1999.999999999999,2000.000000000001,2000.0,2.65775903981983e-13
257,1999.999999999999,2000.000000000001,2000.0,2.5889380585230177e-13
258,1999.999999999999,2000.000000000001,2000.0,2.494224625082674e-13
259,1999.999999999999,2000.000000000001,2000.0,2.6620012756239843e-13
260,1999.999999999999,2000.000000000001,2000.0,2.702666277769804e-13
261,1999.999999999999,2000.000000000001,2000.0,2.6091983634903717e-13
262,1999.9999999999989,2000.000000000001,2000.0,2.687663947986898e-13
263,1999.999999999999,2000.000000000001,2000.0,2.6591738703910636e-13
264,1999.999999999999,2000.000000000001,2000.0,2.706838134553631e-13
265,1999.999999999999,2000.000000000001,2000.0,2.6676470959124216e-13
266,1999.999999999999,2000.000000000001,2000.0,2.7509443073104633e-13
267,1999.999999999999,2000.000000000001,2000.0,2.664825680954919e-13
268,1999.999999999999,2000.000000000001,2000.0,2.6620012756239843e-13
269,1999.999999999999,2000.000000000001,2000.0,2.728980328675678e-13
270,1999.999999999999,2000.000000000001,2000.0,2.6106395115502637e-13
271,1999.999999999999,2000.000000000001,2000.0,2.72346165704468e-13
272,1999.999999999999,2000.000000000001,2000.0,2.775446026858026e-13
273,1999.999999999999,2000.000000000001,2000.0,2.663413852680481e-13
274,1999.999999999999,2000.000000000001,2000.0,2.630732690419021e-13
275,1999.999999999999,2000.000000000001,2000.0,2.616396165754272e-13
276,1999.999999999999,2000.000000000001,2000.0,2.664825680954919e-13
277,1999.999999999999,2000.000000000001,2000.0,2.727601707557804e-13
278,1999.999999999999,2000.000000000001,2000.0,2.859549244072493e-13
279,1999.999999999999,2000.000000000001,2000.0,2.663413852680481e-13
280,1999.9999999999989,2000.000000000001,2000.0,2.7141234538268973e-13
281,1999.999999999999,2000.000000000001,2000.0,2.599087952620088e-13
282,1999.999999999999,2000.000000000001,2000.0,2.680306710316761e-13
283,1999.9999999999989,2000.000000000001,2000.0,2.743071247046109e-13
284,1999.999999999999,2000.000000000001,2000.0,2.7849162577334267e-13
285,1999.999999999999,2000.000000000001,2000.0,2.6831118463124466e-13
286,1999.9999999999989,2000.000000000001,2000.0,2.716893674965285e-13
287,1999.999999999999,2000.000000000001,2000.0,2.681709645095013e-13
288,1999.999999999999,2000.000000000001,2000.0,2.7165475518127293e-13
289,1999.999999999999,2000.000000000001,2000.0,2.590390478305442e-13
290,1999.999999999999,2000.000000000001,2000.0,2.5699819067307834e-13
291,1999.999999999999,2000.000000000001,2000.0,2.6956988357124143e-13
292,1999.999999999999,2000.000000000001,2000.0,2.7137769773521557e-13
293,1999.999999999999,2000.000000000001,2000.0,2.7564079558059076e-13
294,1999.999999999999,2000.000000000001,2000.0,2.7632223245629227e-13
295,1999.999999999999,2000.000000000001,2000.0,2.660587948592783e-13
296,1999.999999999999,2000.000000000001,2000.0,2.6956988357124143e-13
